[auto_annotate_v33] 开始监控 data/v3.3_run/results.jsonl
[auto_annotate_v33] 目标样本数: 314, 检查间隔: 60s
[10:18:52] 已完成: 0/314
[10:19:52] 已完成: 0/314
[10:20:52] 已完成: 1/314
[10:21:52] 已完成: 1/314
[10:22:52] 已完成: 2/314
[10:23:52] 已完成: 2/314
[10:24:52] 已完成: 3/314
[10:25:52] 已完成: 3/314
[10:26:52] 已完成: 3/314
[10:27:52] 已完成: 4/314
[10:28:52] 已完成: 4/314
[10:29:53] 已完成: 4/314
[10:30:53] 已完成: 5/314
[10:31:53] 已完成: 5/314
[10:32:53] 已完成: 5/314
[10:33:53] 已完成: 6/314
[10:34:53] 已完成: 6/314
[10:35:53] 已完成: 7/314
[10:36:53] 已完成: 7/314
[10:37:53] 已完成: 7/314
[10:38:53] 已完成: 8/314
[10:39:53] 已完成: 8/314
[10:40:53] 已完成: 9/314
[10:41:53] 已完成: 9/314
[10:42:53] 已完成: 9/314
[10:43:53] 已完成: 9/314
[10:44:53] 已完成: 10/314
[10:45:53] 已完成: 10/314
[10:46:53] 已完成: 10/314
[10:47:53] 已完成: 11/314
[10:48:53] 已完成: 11/314
[10:49:54] 已完成: 12/314
[10:50:54] 已完成: 12/314
[10:51:54] 已完成: 13/314
[10:52:54] 已完成: 13/314
[10:53:54] 已完成: 14/314
[10:54:54] 已完成: 14/314
[10:55:54] 已完成: 15/314
[10:56:54] 已完成: 15/314
[10:57:54] 已完成: 15/314
[10:58:54] 已完成: 16/314
[10:59:54] 已完成: 16/314
[11:00:54] 已完成: 16/314
[11:01:54] 已完成: 17/314
[11:02:54] 已完成: 17/314
[11:03:55] 已完成: 18/314
[11:04:55] 已完成: 18/314
[11:05:55] 已完成: 19/314
[11:06:55] 已完成: 19/314
[11:07:55] 已完成: 20/314
[11:08:55] 已完成: 20/314
[11:09:55] 已完成: 20/314
[11:10:55] 已完成: 21/314
[11:11:55] 已完成: 21/314
[11:12:55] 已完成: 21/314
[11:13:55] 已完成: 22/314
[11:14:55] 已完成: 22/314
[11:15:55] 已完成: 22/314
[11:16:55] 已完成: 22/314
[11:17:56] 已完成: 23/314
[11:18:56] 已完成: 23/314
[11:19:56] 已完成: 24/314
[11:20:56] 已完成: 24/314
[11:21:56] 已完成: 25/314
[11:22:56] 已完成: 25/314
[11:23:56] 已完成: 25/314
[11:24:56] 已完成: 26/314
[11:25:56] 已完成: 26/314
[11:26:56] 已完成: 27/314
[11:27:56] 已完成: 27/314
[11:28:56] 已完成: 27/314
[11:29:56] 已完成: 28/314
[11:30:56] 已完成: 28/314
[11:31:56] 已完成: 29/314
[11:32:56] 已完成: 29/314
[11:33:56] 已完成: 29/314
[11:34:56] 已完成: 29/314
[11:35:56] 已完成: 30/314
[11:36:56] 已完成: 30/314
[11:37:56] 已完成: 31/314
[11:38:57] 已完成: 31/314
[11:39:57] 已完成: 31/314
[11:40:57] 已完成: 31/314
[11:41:57] 已完成: 32/314
[11:42:57] 已完成: 32/314
[11:43:57] 已完成: 32/314
[11:44:57] 已完成: 33/314
[11:45:57] 已完成: 33/314
[11:46:57] 已完成: 33/314
[11:47:57] 已完成: 34/314
[11:48:57] 已完成: 34/314
[11:49:57] 已完成: 35/314
[11:50:57] 已完成: 35/314
[11:51:57] 已完成: 35/314
[11:52:58] 已完成: 36/314
[11:53:58] 已完成: 36/314
[11:54:58] 已完成: 37/314
[11:55:58] 已完成: 37/314
[11:56:58] 已完成: 37/314
[11:57:58] 已完成: 38/314
[11:58:58] 已完成: 38/314
[11:59:58] 已完成: 38/314
[12:00:58] 已完成: 39/314
[12:01:58] 已完成: 39/314
[12:02:58] 已完成: 40/314
[12:03:58] 已完成: 40/314
[12:04:58] 已完成: 40/314
[12:05:58] 已完成: 41/314
[12:06:58] 已完成: 41/314
[12:07:58] 已完成: 42/314
[12:08:58] 已完成: 42/314
[12:09:58] 已完成: 42/314
[12:10:58] 已完成: 43/314
[12:11:58] 已完成: 43/314
[12:12:59] 已完成: 44/314
[12:13:59] 已完成: 44/314
[12:14:59] 已完成: 45/314
[12:15:59] 已完成: 45/314
[12:16:59] 已完成: 46/314
[12:17:59] 已完成: 46/314
[12:18:59] 已完成: 46/314
[12:19:59] 已完成: 47/314
[12:21:00] 已完成: 47/314
[12:22:00] 已完成: 48/314
[12:23:00] 已完成: 48/314
[12:24:00] 已完成: 48/314
[12:25:00] 已完成: 49/314
[12:26:00] 已完成: 49/314
[12:27:00] 已完成: 50/314
[12:28:00] 已完成: 50/314
[12:29:00] 已完成: 51/314
[12:30:00] 已完成: 51/314
[12:31:00] 已完成: 51/314
[12:32:00] 已完成: 52/314
[12:33:00] 已完成: 52/314
[12:34:01] 已完成: 53/314
[12:35:01] 已完成: 53/314
[12:36:01] 已完成: 54/314
[12:37:01] 已完成: 54/314
[12:38:01] 已完成: 54/314
[12:39:01] 已完成: 55/314
[12:40:02] 已完成: 56/314
[12:41:02] 已完成: 56/314
[12:42:02] 已完成: 56/314
[12:43:02] 已完成: 56/314
[12:44:02] 已完成: 57/314
[12:45:02] 已完成: 57/314
[12:46:02] 已完成: 58/314
[12:47:02] 已完成: 58/314
[12:48:02] 已完成: 59/314
[12:49:02] 已完成: 59/314
[12:50:02] 已完成: 59/314
[12:51:02] 已完成: 59/314
[12:52:03] 已完成: 60/314
[12:53:03] 已完成: 60/314
[12:54:03] 已完成: 60/314
[12:55:03] 已完成: 61/314
[12:56:03] 已完成: 61/314
[12:57:03] 已完成: 61/314
[12:58:03] 已完成: 62/314
[12:59:03] 已完成: 62/314
[13:00:03] 已完成: 62/314
[13:01:03] 已完成: 62/314
